subject,block_id,t_start_sec,t_end_sec,stage,clean_channels
EPCTL20,N2_1,1230.00,1560.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_2,1560.00,1980.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_3,2130.00,3120.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_4,3210.00,4020.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_5,4830.00,5490.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_6,5610.00,6600.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_7,6600.00,7260.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_8,7410.00,7770.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_9,8550.00,8850.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_10,9030.00,9390.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N3_11,9660.00,10380.00,N3,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,W_12,11910.00,12300.00,W,"Fp1,Fp2,F3,F4,C3,C4,P3,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_13,12420.00,12780.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_14,13140.00,13950.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_15,14010.00,14970.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,R_16,15390.00,15900.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,R_17,16020.00,16560.00,R,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_18,18030.00,18360.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
EPCTL20,N2_19,18450.00,19380.00,N2,"Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,F9,F10,FC5,FC1,CP1,FC2,FC6,CP2,CP6"
